rasn,prefix,as_path
1199,1.2.0.0/16,"(1199, 1103, 49544, 2152, 25)"
1201,1.2.0.0/16,"(1201, 22773, 49544, 2152, 25)"
1204,1.2.0.0/16,"(1204, 174, 10886, 27)"
1205,1.2.0.0/16,"(1205, 1853, 2635, 2152, 25)"
1206,1.2.0.0/16,"(1206, 5050, 293, 10886, 27)"
1207,1.2.0.0/16,"(1207, 5050, 293, 10886, 27)"
1213,1.2.0.0/16,"(1213, 6461, 10886, 27)"
1215,1.2.0.0/16,"(1215, 31898, 2152, 25)"
1216,1.2.0.0/16,"(1216, 31898, 2152, 25)"
1217,1.2.0.0/16,"(1217, 31898, 2152, 25)"
1218,1.2.0.0/16,"(1218, 1299, 10886, 27)"
1219,1.2.0.0/16,"(1219, 286, 10886, 27)"
1221,1.2.0.0/16,"(1221, 8075, 2152, 25)"
1222,1.2.0.0/16,"(1222, 32098, 14907, 2152, 25)"
1224,1.2.0.0/16,"(1224, 293, 10886, 27)"
1225,1.2.0.0/16,"(1225, 2914, 293, 10886, 27)"
1234,1.2.0.0/16,"(1234, 719, 42708, 42, 10886, 27)"
1236,1.2.0.0/16,"(1236, 701, 3257, 10886, 27)"
1237,1.2.0.0/16,"(1237, 4766, 2152, 25)"
1239,1.2.0.0/16,"(1239, 1299, 10886, 27)"
1241,1.2.0.0/16,"(1241, 293, 10886, 27)"
1246,1.2.0.0/16,"(1246, 174, 10886, 27)"
1248,1.2.0.0/16,"(1248, 293, 10886, 27)"
1249,1.2.0.0/16,"(1249, 1968, 286, 42, 10886, 27)"
1251,1.2.0.0/16,"(1251, 28624, 714, 2152, 25)"
1252,1.2.0.0/16,"(1252, 3356, 10886, 27)"
1255,1.2.0.0/16,"(1255, 1968, 286, 42, 10886, 27)"
1257,1.2.0.0/16,"(1257, 1299, 10886, 27)"
1258,1.2.0.0/16,"(1258, 2914, 293, 10886, 27)"
1261,1.2.0.0/16,"(1261, 286, 10886, 27)"
1265,1.2.0.0/16,"(1265, 174, 10886, 27)"
1267,1.2.0.0/16,"(1267, 42, 10886, 27)"
1270,1.2.0.0/16,"(1270, 702, 1299, 10886, 27)"
1271,1.2.0.0/16,"(1271, 3320, 293, 10886, 27)"
1273,1.2.0.0/16,"(1273, 2516, 2152, 25)"
1277,1.2.0.0/16,"(1277, 174, 10886, 27)"
1280,1.2.0.0/16,"(1280, 42, 10886, 27)"
1286,1.2.0.0/16,"(1286, 174, 10886, 27)"
1288,1.2.0.0/16,"(1288, 15830, 42, 10886, 27)"
1289,1.2.0.0/16,"(1289, 174, 10886, 27)"
1294,1.2.0.0/16,"(1294, 701, 174, 10886, 27)"
1299,1.2.0.0/16,"(1299, 10886, 27)"
